NAV Calculation Date;NAV €;;;;;Fund size (compartment)
02.2025;186,60;;;;;24862000000,00
01.2025;182,16;;;;;
12.2024;181,62;;;;;
11.2024;175,26;;;;;
10.2024;171,05;;;;;
09.2024;161,89;;;;;
08.2024;159,88;;;;;
07.2024;166,59;;;;;
06.2024;161,99;;;;;
05.2024;157,85;;;;;
04.2024;153,97;;;;;
03.2024;153,72;;;;;
02.2024;150,25;;;;;
01.2024;143,47;;;;;
12.2023;141,12;;;;;
11.2023;130,91;;;;;
10.2023;125,62;;;;;
09.2023;129,14;;;;;
08.2023;126,37;;;;;
07.2023;127,47;;;;;
06.2023;125,46;;;;;
05.2023;118,30;;;;;
04.2023;116,26;;;;;
03.2023;116,25;;;;;
02.2023;117,55;;;;;
01.2023;109,98;;;;;
12.2022;106,29;;;;;
11.2022;108,96;;;;;
10.2022;107,24;;;;;
09.2022;111,69;;;;;
08.2022;119,40;;;;;
07.2022;110,29;;;;;
06.2022;106,82;;;;;
05.2022;109,42;;;;;
04.2022;115,70;;;;;
03.2022;115,49;;;;;
02.2022;115,94;;;;;
01.2022;120,53;;;;;
12.2021;122,61;;;;;
11.2021;123,34;;;;;
10.2021;117,95;;;;;
09.2021;116,74;;;;;
08.2021;115,64;;;;;
07.2021;113,95;;;;;
06.2021;110,59;;;;;
05.2021;106,80;;;;;
04.2021;110,32;;;;;
03.2021;104,61;;;;;
02.2021;102,89;;;;;
01.2021;97,24;;;;;
12.2020;92,17;;;;;
11.2020;86,74;;;;;
10.2020;82,47;;;;;
09.2020;79,65;;;;;
08.2020;80,01;;;;;
07.2020;78,29;;;;;
06.2020;75,58;;;;;
05.2020;71,07;;;;;
04.2020;65,52;;;;;
03.2020;60,54;;;;;
02.2020;75,32;;;;;
01.2020;73,70;;;;;
12.2019;69,37;;;;;
11.2019;67,54;;;;;
10.2019;63,96;;;;;
09.2019;63,08;;;;;
08.2019;58,97;;;;;
07.2019;60,90;;;;;
06.2019;57,13;;;;;
05.2019;58,24;;;;;
04.2019;60,17;;;;;
03.2019;56,39;;;;;
02.2019;54,92;;;;;
01.2019;50,32;;;;;
12.2018;48,95;;;;;
11.2018;50,73;;;;;
10.2018;50,20;;;;;
09.2018;52,63;;;;;
08.2018;52,90;;;;;
07.2018;51,85;;;;;
06.2018;51,54;;;;;
05.2018;49,42;;;;;
04.2018;46,45;;;;;
03.2018;47,93;;;;;
02.2018;46,44;;;;;
01.2018;47,99;;;;;
12.2017;47,26;;;;;
11.2017;47,10;;;;;
10.2017;44,88;;;;;
09.2017;42,60;;;;;
08.2017;41,86;;;;;
07.2017;42,55;;;;;
06.2017;43,65;;;;;
05.2017;43,61;;;;;
04.2017;42,59;;;;;
03.2017;42,40;;;;;
02.2017;41,69;;;;;
01.2017;40,05;;;;;
12.2016;38,91;;;;;
11.2016;37,15;;;;;
10.2016;36,57;;;;;
09.2016;35,65;;;;;
08.2016;34,74;;;;;
07.2016;33,24;;;;;
06.2016;31,61;;;;;
05.2016;30,11;;;;;
04.2016;30,83;;;;;
03.2016;30,69;;;;;
02.2016;28,04;;;;;
01.2016;29,41;;;;;
12.2015;32,35;;;;;
11.2015;33,01;;;;;
10.2015;29,98;;;;;
09.2015;28,14;;;;;
08.2015;29,68;;;;;
07.2015;31,02;;;;;
06.2015;30,77;;;;;
05.2015;30,63;;;;;
04.2015;30,97;;;;;
03.2015;30,34;;;;;
02.2015;28,68;;;;;
01.2015;26,80;;;;;
12.2014;25,73;;;;;
11.2014;24,83;;;;;
10.2014;22,86;;;;;
09.2014;23,68;;;;;
08.2014;22,64;;;;;
07.2014;22,14;;;;;
06.2014;21,64;;;;;
05.2014;20,40;;;;;
04.2014;20,25;;;;;
03.2014;20,23;;;;;
02.2014;19,87;;;;;
