Table 1
NAV calculation date;NAV;Reinvestment factor;"NAV (adjusted if ""distr."")";Dividend;Fund size (class);Fund size (compartment)
25.02.2025;393,37;;393,37;;1,935B;11094010302,18
24.02.2025;395,94;;395,94;;1,948B;11168591567,66
21.02.2025;402,88;;402,88;;1,983B;11371506687,31
20.02.2025;403,97;;403,97;;1,988B;11403898500,63
19.02.2025;404,26;;404,26;;1,989B;11411047067,29
18.02.2025;405,36;;405,36;;1,993B;11451122150,59
14.02.2025;404,73;;404,73;;1,99B;11440772260,93
13.02.2025;405,69;;405,69;;1,994B;11466854503,29
12.02.2025;403,54;;403,54;;1,983B;11404306595,47
11.02.2025;407,44;;407,44;;2,002B;11512110956,27
10.02.2025;408,09;;408,09;;2,005B;11522156405,31
07.02.2025;408,77;;408,77;;2,008B;11551385752,32
06.02.2025;409,22;;409,22;;2,01B;11567376464,6
05.02.2025;403,09;;403,09;;1,979B;11402278768,46
04.02.2025;403,64;;403,64;;1,982B;11419136672,95
03.02.2025;403,16;;403,16;;1,978B;11397977890,27
31.01.2025;409,08;;409,08;;2,007B;11576407073,85
30.01.2025;405,59;;405,59;;1,99B;11481065816,13
29.01.2025;403,46;;403,46;;1,979B;11423369146,7
28.01.2025;401,05;;401,05;;1,967B;11360034362,64
27.01.2025;398,82;;398,82;;1,956B;11314549590,96
24.01.2025;401,95;;401,95;;1,971B;11398029957,32
23.01.2025;401,04;;401,04;;1,967B;11375182409,07
22.01.2025;403,13;;403,13;;1,977B;11439152104,72
21.01.2025;400,21;;400,21;;1,96B;11354139312,09
17.01.2025;400,13;;400,13;;1,959B;11352168194,99
16.01.2025;395,69;;395,69;;1,937B;11229995099,28
15.01.2025;395,02;;395,02;;1,936B;11222269300,51
14.01.2025;390,18;;390,18;;1,913B;11087082342,45
13.01.2025;389,32;;389,32;;1,906B;11060714884,49
10.01.2025;391,08;;391,08;;1,918B;11127172295,93
08.01.2025;390,66;;390,66;;1,916B;11120304692,32
07.01.2025;394,22;;394,22;;1,934B;11226535419,22
06.01.2025;393,26;;393,26;;1,928B;11198404998,17
03.01.2025;389,96;;389,96;;1,911B;11116625903,61
02.01.2025;391,89;;391,89;;1,921B;11168863095,61
31.12.2024;387,98;;387,98;;1,901B;11060748690,98
30.12.2024;383,75;;383,75;;1,879B;10943611586,02
27.12.2024;390,63;;390,63;;1,91B;11143314126,77
23.12.2024;388,44;;388,44;;1,9B;11083543909,49
20.12.2024;384,64;;384,64;;1,881B;10978013151,4
19.12.2024;387,59;;387,59;;1,895B;11065721692,61
18.12.2024;396,75;;396,75;;1,939B;11332487527,38
17.12.2024;397,66;;397,66;;1,944B;11365248192,96
16.12.2024;399,89;;399,89;;1,955B;11427909121,36
13.12.2024;399,12;;399,12;;1,95B;11403204489,09
12.12.2024;400,31;;400,31;;1,956B;11443717152,09
11.12.2024;401,88;;401,88;;1,964B;11492178667,41
10.12.2024;400,08;;400,08;;1,956B;11448936247,32
09.12.2024;403,20;;403,20;;1,975B;11543087080,36
06.12.2024;402,31;;402,31;;1,971B;11519260604,46
05.12.2024;401,08;;401,08;;1,964B;11490285778,46
04.12.2024;403,57;;403,57;;1,975B;11588634624,82
03.12.2024;400,71;;400,71;;1,96B;11509428469,94
02.12.2024;401,13;;401,13;;1,962B;11520044028,63
29.11.2024;398,39;;398,39;;1,948B;11467819193,09
27.11.2024;398,10;;398,10;;1,947B;11464947601,49
26.11.2024;399,78;;399,78;;1,956B;11514786480,4
25.11.2024;400,83;;400,83;;1,961B;11542409899,39
22.11.2024;399,14;;399,14;;1,953B;11497939867,74
21.11.2024;388,84;;388,84;;1,902B;11212411037,08
20.11.2024;385,97;;385,97;;1,889B;11129571751,79
19.11.2024;382,14;;382,14;;1,87B;11026175360,22
18.11.2024;383,06;;383,06;;1,875B;11056118929,9
15.11.2024;388,10;;388,10;;1,9B;11204692289,37
14.11.2024;393,23;;393,23;;1,925B;11360565317,53
13.11.2024;393,95;;393,95;;1,929B;11392832942,84
